List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_µm3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions - NOT IMPORTED, NOT handled by ICES	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella pallida			(Lemmermann) Geitler 1942	177140	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177140	AU	cylinder	?/4*d^2*h	2			colony	 0.5-1.6x1.1-3.7				3	1		20	47,100000			9,655688	based on individual cell			Species	Spherical / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella pallida			(Lemmermann) Geitler 1942	177140	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177140	AU	cylinder	?/4*d^2*h	3			colony	 0.5-1.6x1.1-3.7				3	1		50	117,750000			24,139219	based on individual cell			Species	Spherical / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella pallida			(Lemmermann) Geitler 1942	177140	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177140	AU	cylinder	?/4*d^2*h	4			colony	 0.5-1.6x1.1-3.7				3	1		100	235,500000			48,278439	based on individual cell			Species	Spherical / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella pallida			(Lemmermann) Geitler 1942	177140	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177140	AU	cylinder	?/4*d^2*h	5			colony	 0.5-1.6x1.1-3.7				3	1		200	471,000000			96,556877	based on individual cell			Species	Spherical / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella parva			Hindák 1985	177155	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177155	AU	cylinder	?/4*d^2*h	1			cell	 0.8-1x1-1.8				1,4	0,9		1	0,890190			0,193650				Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella parva			Hindák 1985	177155	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177155	AU	cylinder	?/4*d^2*h	2			colony	 0.8-1x1-1.8				1,4	0,9		20	17,803800			3,873005	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella parva			Hindák 1985	177155	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177155	AU	cylinder	?/4*d^2*h	3			colony	 0.8-1x1-1.8				1,4	0,9		50	44,509500			9,682511	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella parva			Hindák 1985	177155	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177155	AU	cylinder	?/4*d^2*h	4			colony	 0.8-1x1-1.8				1,4	0,9		100	89,019000			19,365023	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella parva			Hindák 1985	177155	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177155	AU	cylinder	?/4*d^2*h	5			colony	 0.8-1x1-1.8				1,4	0,9		200	178,038000			38,730046	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella			Geitler 1942	177138	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177138	AU	cylinder	?/4*d^2*h	1			cell	 0.5-3				2	1		1	1,570000			0,329916				Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella			Geitler 1942	177138	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177138	AU	cylinder	?/4*d^2*h	2			colony	 0.5-3				2	1		20	31,400000			6,598322	based on individual cell			Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella			Geitler 1942	177138	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177138	AU	cylinder	?/4*d^2*h	3			colony	 0.5-3				2	1		50	78,500000			16,495806	based on individual cell			Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella			Geitler 1942	177138	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177138	AU	cylinder	?/4*d^2*h	4			colony	 0.5-3				2	1		100	157,000000			32,991611	based on individual cell			Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Lemmermanniella	Lemmermanniella			Geitler 1942	177138	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177138	AU	cylinder	?/4*d^2*h	5			colony	 0.5-3				2	1		200	314,000000			65,983222	based on individual cell			Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix planctonica			(Woloszynska) Meffert 1988	177507	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177507	AU	cylinder	?/4*d^2*h	1			filament	2x100				100	2		12,5	314,000000		8	55,716291	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix planctonica			(Woloszynska) Meffert 1988	177507	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177507	AU	cylinder	?/4*d^2*h	2			filament	2.5x100				100	2,5		12,5	490,625000		8	84,718685	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix planctonica			(Woloszynska) Meffert 1988	177507	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177507	AU	cylinder	?/4*d^2*h	3			filament	3x100				100	3		12,5	706,500000		8	119,311302	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix redekei			(Goor) Meffert 1988	177508	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177508	AU	cylinder	?/4*d^2*h	1			filament	2x100				100	2		12,5	314,000000		8	55,716291	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix redekei			(Goor) Meffert 1988	177508	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177508	AU	cylinder	?/4*d^2*h	2			filament	3x100				100	3		12,5	706,500000		8	119,311302	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix			Meffert 1987	177506	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177506	AU	cylinder	?/4*d^2*h	1			filament	1.5x100				100	1,5		12,5	176,625000		8	32,459906	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix			Meffert 1987	177506	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177506	AU	cylinder	?/4*d^2*h	2			filament	2x100				100	2		12,5	314,000000		8	55,716291	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix			Meffert 1987	177506	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177506	AU	cylinder	?/4*d^2*h	3			filament	2.5x100				100	2,5		12,5	490,625000		8	84,718685	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Limnothrix	Limnothrix			Meffert 1987	177506	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177506	AU	cylinder	?/4*d^2*h	4			filament	3x100				100	3		12,5	706,500000		8	119,311302	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia elegans			A.Braun ex Kützing 1849	177158	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177158	AU	rotational ellipsoid	?/6*d^2*l	1			cell	 5-7x5-9	7				6		1	131,880000			21,149581				Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia elegans			A.Braun ex Kützing 1849	177158	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177158	AU	rotational ellipsoid	?/6*d^2*l	2			colony	 5-7x5-9	7				6		4	527,520000			84,598325	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia glauca			(Ehrenberg) Kützing 1845	146578	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146578	AU	sphere	?/6*d^3	1			cell	 3-6					5		1	65,416667			10,949270				Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia glauca			(Ehrenberg) Kützing 1845	146578	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146578	AU	sphere	?/6*d^3	2			colony	 3-6					5		4	261,666667			43,797080	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia punctata			Meyen 1839	146577	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146577	AU	sphere	?/6*d^3	1			cell	 2.5-3.6					3		1	14,130000			2,596792				Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia punctata			Meyen 1839	146577	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146577	AU	sphere	?/6*d^3	2			colony	 2.5-3.6					3		4	56,520000			10,387170	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia punctata			Meyen 1839	146577	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146577	AU	sphere	?/6*d^3	3			colony	 2.5-3.6					3		16	226,080000			41,548679	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia tenuissima			Lemmermann 1898	146576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146576	AU	sphere	?/6*d^3	1			cell	 0.4-2.5					1,5		1	1,766250			0,368499				Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia tenuissima			Lemmermann 1898	146576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146576	AU	sphere	?/6*d^3	2			colony	 0.4-2.5					1,5		16	28,260000			5,895976	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia tenuissima			Lemmermann 1898	146576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146576	AU	sphere	?/6*d^3	3			colony	 0.4-2.5					1,5		32	56,520000			11,791953	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia tenuissima			Lemmermann 1898	146576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146576	AU	sphere	?/6*d^3	4			colony	 0.4-2.5					1,5		64	113,040000			23,583905	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia tenuissima			Lemmermann 1898	146576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146576	AU	sphere	?/6*d^3	5			colony	 0.4-2.5					1,5		96	169,560000			35,375858	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia warmingiana			(Lagerheim) Forti 1907	146546	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146546	AU	sphere	?/6*d^3	1			cell	 0.5-1.2					0,8		1	0,267947			0,062718				Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia warmingiana			(Lagerheim) Forti 1907	146546	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146546	AU	sphere	?/6*d^3	2			colony	 0.5-1.2					0,8		4	1,071787			0,250871	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia warmingiana			(Lagerheim) Forti 1907	146546	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146546	AU	sphere	?/6*d^3	3			colony	 0.5-1.2					0,8		8	2,143573			0,501743	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia warmingiana			(Lagerheim) Forti 1907	146546	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146546	AU	sphere	?/6*d^3	4			colony	 0.5-1.2					0,8		16	4,287147			1,003486	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia warmingiana			(Lagerheim) Forti 1907	146546	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146546	AU	sphere	?/6*d^3	5			colony	 0.5-1.2					0,8		32	8,574293			2,006971	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia warmingiana			(Lagerheim) Forti 1907	146546	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146546	AU	sphere	?/6*d^3	6			colony	 0.5-1.2					0,8		64	17,148587			4,013942	based on individual cell			Species	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	1			cell	<0.5					0,5		1	0,065417			0,016687				Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	2			colony	<0.5					0,5		4	0,261667			0,066749	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	3			colony	<0.5					0,5		8	0,523333			0,133498	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	4			colony	<0.5					0,5		16	1,046667			0,266996	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	5			colony	<0.5					0,5		32	2,093333			0,533992	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	6			colony	<0.5					0,5		64	4,186667			1,067985	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	7			cell	 0.5-3 					1,75		1	2,804740			0,568885				Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	8			colony	 0.5-3 					1,75		4	11,218958			2,275542	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	9			colony	 0.5-3 					1,75		8	22,437917			4,551084	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	10			colony	 0.5-3 					1,75		16	44,875833			9,102168	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	11			colony	 0.5-3 					1,75		32	89,751667			18,204335	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Merismopedia	Merismopedia			Meyen 1839	146545	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146545	AU	sphere	?/6*d^3	12			colony	 0.5-3 					1,75		64	179,503333			36,408671	based on individual cell			Genus	Flat or wavy / cells arranged in one plane of the colony                                    										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pannus	Pannus spumosus			B.Hickel 1991	177428	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177428	AU	sphere	?/6*d^3	1			cell	 1-1.5					1,25		1	1,022135			0,220487				Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pannus	Pannus spumosus			B.Hickel 1991	177428	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177428	AU	sphere	?/6*d^3	2			colony	 1-1.5					1,25		20	20,442708			4,409732	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pannus	Pannus spumosus			B.Hickel 1991	177428	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177428	AU	sphere	?/6*d^3	3			colony	 1-1.5					1,25		50	51,106771			11,024329	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pannus	Pannus			B.Hickel 1991	177426	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177426	AU	sphere	?/6*d^3	1			cell	 1-1.5					1,25		1	1,022135			0,220487				Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pannus	Pannus			B.Hickel 1991	177426	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177426	AU	sphere	?/6*d^3	2			colony	 1-1.5					1,25		20	20,442708			4,409732	based on individual cell			Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pannus	Pannus			B.Hickel 1991	177426	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177426	AU	sphere	?/6*d^3	3			colony	 1-1.5					1,25		50	51,106771			11,024329	based on individual cell			Genus	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya contorta			(Lemmermann) Anagnostidis & Komárek 1988	177572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177572	AU	cylinder	?/4*d^2*h	1			filament	1.5x100				100	1,5		25	176,625000		4	33,861803	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya lacustris			(Lemmermann) Anagnostidis & Komárek 1988	177574	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177574	AU	cylinder	?/4*d^2*h	1			filament	1.5x100				100	1,5		25	176,625000		4	33,861803	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya limnetica			(Lemmermann) Komárková-Legnerová & Cronberg 1992	177576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177576	AU	cylinder	?/4*d^2*h	1			filament	1x100				100	1		25	78,500000		4	15,812870	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya limnetica			(Lemmermann) Komárková-Legnerová & Cronberg 1992	177576	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177576	AU	cylinder	?/4*d^2*h	2			filament	2x100				100	2		25	314,000000		4	58,122600	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya			Anagnostidis & Komárek 1988	146677	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146677	AU	cylinder	?/4*d^2*h	1			filament	1.5x100				100	1,5		25	176,625000		4	33,861803	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya			Anagnostidis & Komárek 1988	146677	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146677	AU	cylinder	?/4*d^2*h	2			filament	2x100				100	2		25	314,000000		4	58,122600	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Planktolyngbya	Planktolyngbya			Anagnostidis & Komárek 1988	146677	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146677	AU	cylinder	?/4*d^2*h	3			filament	2.5x100				100	2,5		25	490,625000		4	88,377566	based on individual cell			Genus											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pseudanabaena	Pseudanabaena acicularis			(Nygaard) Anagnostidis & Komárek 1988	577876	http://www.marinespecies.org/aphia.php?p=taxdetails&id=577876	AU	cylinder	?/4*d^2*h	1			filament	1.5x100				100	1,5		10	176,625000	*	10	32,021063	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pseudanabaena	Pseudanabaena limnetica			(Lemmermann) Komárek 1974	177590	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177590	AU	cylinder	?/4*d^2*h	1			filament	1x100				100	1		20	78,500000		5	15,599087	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pseudanabaena	Pseudanabaena limnetica			(Lemmermann) Komárek 1974	177590	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177590	AU	cylinder	?/4*d^2*h	2			filament	1.5x100				100	1,5		16,7	176,625000		6	33,034559	based on individual cell			Species											
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	SYNECHOCOCCALES	Pseudanabaena	Pseudanabaena mucicola			(Naumann & Huber-Pestalozzi) Schwabe 1964	177592	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177592	AU	cylinder	?/4*d^2*h	1			filament	2x100				100	2		50	314,000000		2	60,632833	based on individual cell			Species											
