scientific_name	AphiaID	Match type	ScientificName	Authority	status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Pylaiella varia	371077	exact	Pylaiella varia	Kjellman, 1883	accepted	371077	Pylaiella varia	Kjellman, 1883	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella		varia	
Coelocladia arctica	145349	exact	Coelocladia arctica	Rosenvinge, 1893	accepted	145349	Coelocladia arctica	Rosenvinge, 1893	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Coelocladia		arctica	
Scytosiphon lomentaria	145869	exact	Scytosiphon lomentaria	(Lyngbye) Link, 1833	accepted	145869	Scytosiphon lomentaria	(Lyngbye) Link, 1833	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Scytosiphonaceae	Scytosiphon		lomentaria	
Pseudanabaena sp.	177588	exact	Pseudanabaena	Lauterborn, 1915	accepted	177588	Pseudanabaena	Lauterborn, 1915	Bacteria	Cyanobacteria	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena			
Petalonia fascia	145863	exact	Petalonia fascia	(O.F.Müller) Kuntze, 1898	accepted	145863	Petalonia fascia	(O.F.Müller) Kuntze, 1898	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Scytosiphonaceae	Petalonia		fascia	
Schizomeris sp.	600819	exact	Schizomeris	Kützing, 1843	accepted	600819	Schizomeris	Kützing, 1843	Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Schizomeridaceae	Schizomeris			
Klebsormidium sp.	369816	exact	Klebsormidium	P.C.Silva, K.Mattox & W.Blackwell, 1972	accepted	369816	Klebsormidium	P.C.Silva, K.Mattox & W.Blackwell, 1972	Plantae	Charophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium			
Tribonema minus	610084	exact	Tribonema minus	(Wille) Hazen, 1902	accepted	610084	Tribonema minus	(Wille) Hazen, 1902	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema		minus	
Tribonema regulare	422908	exact	Tribonema regulare	Pascher, 1939	accepted	422908	Tribonema regulare	Pascher, 1939	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema		regulare	
Planctonema lauterbornii	162716	exact	Planctonema lauterbornii	Schmidle, 1903	unaccepted	575737	Binuclearia lauterbornii	(Schmidle) Proshkina-Lavrenko, 1966	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Planctonema		lauterbornii	
Aphanochaete sp.	144284	exact	Aphanochaete	Braun, 1851	accepted	144284	Aphanochaete	Braun, 1851	Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Aphanochaetaceae	Aphanochaete			
Pseudendoclonium basiliense Vischer var. brandii																	
Hyella balani	213703	exact	Hyella balani	Lehmann, 1903	accepted	213703	Hyella balani	Lehmann, 1903	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Pleurocapsaceae	Hyella		balani	
Hyella sp.	146627	exact	Hyella	Bornet & Flahault, 1888	accepted	146627	Hyella	Bornet & Flahault, 1888	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Pleurocapsaceae	Hyella			
Ulvella heteroclada	732253	exact	Ulvella heteroclada	(Correa & R.Nielsen)R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	accepted	732253	Ulvella heteroclada	(Correa & R.Nielsen)R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella		heteroclada	
Ulvella endostraca	732251	exact	Ulvella endostraca	(R.Nielsen) R.Nielsen, C.J.O'Kelly & B. Wysor, 2013	accepted	732251	Ulvella endostraca	(R.Nielsen) R.Nielsen, C.J.O'Kelly & B. Wysor, 2013	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella		endostraca	
Punctaria latifolia	145346	exact	Punctaria latifolia	Greville, 1830	accepted	145346	Punctaria latifolia	Greville, 1830	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Punctaria		latifolia	
Pyramimonas mitra	495482	exact	Pyramimonas mitra	Moestrup & D.R.A.Hill, 1991	accepted	495482	Pyramimonas mitra	Moestrup & D.R.A.Hill, 1991	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		mitra	
Tetraselmis verrucosa	376160	exact	Tetraselmis verrucosa	Butcher, 1959	accepted	376160	Tetraselmis verrucosa	Butcher, 1959	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis		verrucosa	
Pycnococcus provasolii	376073	exact	Pycnococcus provasolii	R.R.L.Guillard, 1991	accepted	376073	Pycnococcus provasolii	R.R.L.Guillard, 1991	Plantae	Chlorophyta	Pyramimonadophyceae	Pseudoscourfieldiales	Pycnococcaceae	Pycnococcus		provasolii	
Oltmannsiellopsis unicellularis	495242	exact	Oltmannsiellopsis unicellularis	I.Inouye & M.Chihara, 1986	accepted	495242	Oltmannsiellopsis unicellularis	I.Inouye & M.Chihara, 1986	Plantae	Chlorophyta	Ulvophyceae	Oltmannsiellopsidales	Oltmannsiellopsidaceae	Oltmannsiellopsis		unicellularis	
Nephroselmis rotunda	134542	exact	Nephroselmis rotunda	(N.Carter) Fott, 1971	accepted	134542	Nephroselmis rotunda	(N.Carter) Fott, 1971	Plantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae	Nephroselmis		rotunda	
Pyramimonas mantoniae	495477	exact	Pyramimonas mantoniae	Ø.Moestrup & D.R.A.Hill, 1993	alternate representation	134552	Pyramimonas subg. Vestigifera mantoniae	Moestrup & Hill	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		mantoniae	
Pyramimonas cirolanae	495421	exact	Pyramimonas cirolanae	N.C.Pennick, 1982	accepted	495421	Pyramimonas cirolanae	N.C.Pennick, 1982	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		cirolanae	
Pyramimonas olivacea	495346	exact	Pyramimonas olivacea	N.Carter, 1937	accepted	495346	Pyramimonas olivacea	N.Carter, 1937	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		olivacea	
Pyramimonas gorlestonae	638421	exact	Pyramimonas gorlestonae	N.C.Pennick & J.P.Cann, 1982	accepted	638421	Pyramimonas gorlestonae	N.C.Pennick & J.P.Cann, 1982	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		gorlestonae	
Cyanophora paradoxa	610203	exact	Cyanophora paradoxa	Korshikov, 1924	accepted	610203	Cyanophora paradoxa	Korshikov, 1924	Plantae	Glaucophyta	Glaucophyceae	Glaucocystales	Glaucocystaceae	Cyanophora		paradoxa	
Pedinomonas minor	375680	exact	Pedinomonas minor	Korshikov, 1923	accepted	375680	Pedinomonas minor	Korshikov, 1923	Plantae	Chlorophyta	Pedinophyceae	Pedinomonadales	Pedinomonadaceae	Pedinomonas		minor	
Pyramimonas moestrupii	495381	exact	Pyramimonas moestrupii	McFadden, 1986	accepted	495381	Pyramimonas moestrupii	McFadden, 1986	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		moestrupii	
Pyramimonas formosa	495344	exact	Pyramimonas formosa	S.D.Sym & R.N.Pienaar, 1999	accepted	495344	Pyramimonas formosa	S.D.Sym & R.N.Pienaar, 1999	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		formosa	
Dicrateria rotunda	840109	exact	Dicrateria rotunda	(N.Reynolds) El M.Bendif & I.Probert, 2014	accepted	840109	Dicrateria rotunda	(N.Reynolds) El M.Bendif & I.Probert, 2014	Chromista	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Dicrateria		rotunda	
Thalassiosira gravida	149102	exact	Thalassiosira gravida	Cleve, 1896	accepted	149102	Thalassiosira gravida	Cleve, 1896	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira		gravida	
Mantoniella squamata	134563	exact	Mantoniella squamata	(Manton & Parke) Desikachary, 1972	accepted	134563	Mantoniella squamata	(Manton & Parke) Desikachary, 1972	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella		squamata	
Pyramimonas disomata	495333	exact	Pyramimonas disomata	Butcher ex McFadden, Hill & Wetherbee, 1986	accepted	495333	Pyramimonas disomata	Butcher ex McFadden, Hill & Wetherbee, 1986	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		disomata	
Ulvella scutata	732330	exact	Ulvella scutata	(Reinke) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	accepted	732330	Ulvella scutata	(Reinke) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella		scutata	
Leptolyngbya ectocarpi	615645	exact	Leptolyngbya ectocarpi	(Gomont) Anagnostidis & Komárek, 1988	accepted	615645	Leptolyngbya ectocarpi	(Gomont) Anagnostidis & Komárek, 1988	Bacteria	Cyanobacteria	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya		ectocarpi	
Pyramimonas propulsa	495347	exact	Pyramimonas propulsa	Moestrup & Hill, 1991	alternate representation	134558	Pyramimonas subg. Pyramimonas propulsa	Moestrup & Hill	Plantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas		propulsa	
Prorocentrum cordatum	232376	exact	Prorocentrum cordatum	(Ostenfeld) J.D.Dodge, 1976	accepted	232376	Prorocentrum cordatum	(Ostenfeld) J.D.Dodge, 1976	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum		cordatum	
Tetraselmis suecica	163447	exact	Tetraselmis suecica	(Kylin) Butcher, 1959	accepted	163447	Tetraselmis suecica	(Kylin) Butcher, 1959	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis		suecica	
Tetraselmis aff. maculata	376157	exact	Tetraselmis maculata	Butcher, 1959	accepted	376157	Tetraselmis maculata	Butcher, 1959	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis		maculata	
Callithamnion corymbosum	144526	exact	Callithamnion corymbosum	(Smith) Lyngbye, 1819	accepted	144526	Callithamnion corymbosum	(Smith) Lyngbye, 1819	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Callithamniaceae	Callithamnion		corymbosum	
Rhodomonas baltica	106313	exact	Rhodomonas baltica	Karsten, 1898	unaccepted	106297	Cryptomonas baltica	(Karsten) Butcher, 1967	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas		baltica	
Eutreptiella gymnastica	110652	exact	Eutreptiella gymnastica	Throndsen, 1969	accepted	110652	Eutreptiella gymnastica	Throndsen, 1969	Protozoa	Euglenozoa	Euglenoidea	Eutreptiida	Eutreptiaceae	Eutreptiella		gymnastica	
Ulvella viridis	732259	exact	Ulvella viridis	(Reinke) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	accepted	732259	Ulvella viridis	(Reinke) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella		viridis	
Tribonema vulgare	577560	exact	Tribonema vulgare	Pascher, 1925	accepted	577560	Tribonema vulgare	Pascher, 1925	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema		vulgare	
Myrionema strangulans	144985	exact	Myrionema strangulans	Greville, 1827	accepted	144985	Myrionema strangulans	Greville, 1827	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Myrionema		strangulans	
Stictyosiphon soriferus	145354	exact	Stictyosiphon soriferus	(Reinke) Rosenvinge, 1935	accepted	145354	Stictyosiphon soriferus	(Reinke) Rosenvinge, 1935	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Stictyosiphon		soriferus	
Syncoryne reinkei	144883	exact	Syncoryne reinkei	R.Nielsen & P.M.Pedersen, 1977	accepted	144883	Syncoryne reinkei	R.Nielsen & P.M.Pedersen, 1977	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Syncoryne		reinkei	
Litosiphon laminariae	145327	exact	Litosiphon laminariae	(Lyngbye) Harvey, 1849	accepted	145327	Litosiphon laminariae	(Lyngbye) Harvey, 1849	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Litosiphon		laminariae	
Vaucheria coronata	146020	exact	Vaucheria coronata	Nordstedt, 1879	accepted	146020	Vaucheria coronata	Nordstedt, 1879	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		coronata	
Halothrix lumbricalis	144944	exact	Halothrix lumbricalis	(Kützing) Reinke, 1888	accepted	144944	Halothrix lumbricalis	(Kützing) Reinke, 1888	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Halothrix		lumbricalis	
Stictyosiphon tortilis	145355	exact	Stictyosiphon tortilis	(Gobi) Reinke, 1889	accepted	145355	Stictyosiphon tortilis	(Gobi) Reinke, 1889	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Stictyosiphon		tortilis	
Tetraselmis marina	376158	exact	Tetraselmis marina	(Cienkowski) R.E.Norris, Hori & Chihara, 1980	accepted	376158	Tetraselmis marina	(Cienkowski) R.E.Norris, Hori & Chihara, 1980	Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis		marina	
Vaucheria litorea	146024	exact	Vaucheria litorea	C.Agardh, 1823	accepted	146024	Vaucheria litorea	C.Agardh, 1823	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		litorea	
Vaucheria canalicularis	238754	exact	Vaucheria canalicularis	(Linnaeus) T.A.Christensen, 1968	accepted	238754	Vaucheria canalicularis	(Linnaeus) T.A.Christensen, 1968	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		canalicularis	
Vaucheria erythrospora	146022	exact	Vaucheria erythrospora	T.A.Christensen, 1956	accepted	146022	Vaucheria erythrospora	T.A.Christensen, 1956	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		erythrospora	
Vaucheria synandra	146031	exact	Vaucheria synandra	Woronin, 1869	accepted	146031	Vaucheria synandra	Woronin, 1869	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		synandra	
Trichothyra irregularis	373218	exact	Trichothyra irregularis	R.Nielsen & McLachlan, 1986	accepted	373218	Trichothyra irregularis	R.Nielsen & McLachlan, 1986	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Trichothyra		irregularis	
Prymnesium nemamethecum	345517	exact	Prymnesium nemamethecum	R.N.Pienaar & M.Birkhead, 1994	accepted	345517	Prymnesium nemamethecum	R.N.Pienaar & M.Birkhead, 1994	Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium		nemamethecum	
Apocalathium malmogiense	1380043	exact	Apocalathium malmogiense	(G.Sjöstedt) Craveiro, Daugbjerg, Moestrup & Calado, 2016	accepted	1380043	Apocalathium malmogiense	(G.Sjöstedt) Craveiro, Daugbjerg, Moestrup & Calado, 2016	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Apocalathium		malmogiense	
Vaucheria bursata	240524	exact	Vaucheria bursata	(O.F.Müller) C.Agardh, 1811	accepted	240524	Vaucheria bursata	(O.F.Müller) C.Agardh, 1811	Chromista	Ochrophyta	Xanthophyceae	Vaucheriales	Vaucheriaceae	Vaucheria		bursata	
Haematococcus sp.	428522	exact	Haematococcus	Flotow, 1844	accepted	428522	Haematococcus	Flotow, 1844	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Haematococcus			
Amphidinium carterae	109723	exact	Amphidinium carterae	Hulburt, 1957	accepted	109723	Amphidinium carterae	Hulburt, 1957	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Amphidinium		carterae	
Synechococcus sp.	160572	exact	Synechococcus	Nägeli, 1849	accepted	160572	Synechococcus	Nägeli, 1849	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus			
Bathycoccus prasinos	345459	exact	Bathycoccus prasinos	W.Eikrem & J.Throndsen, 1990	accepted	345459	Bathycoccus prasinos	W.Eikrem & J.Throndsen, 1990	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus		prasinos	
Streblonema zanardinii	145474	exact	Streblonema zanardinii	(P.L.Crouan & H.M.Crouan) De Toni, 1895	accepted	145474	Streblonema zanardinii	(P.L.Crouan & H.M.Crouan) De Toni, 1895	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Streblonema		zanardinii	
Chlorocystis cohnii	146818	exact	Chlorocystis cohnii	(E.P.Wright) L.Reinhard, 1885	unaccepted	144898	Chlorochytrium cohnii	E.P.Wright, 1877	Plantae	Chlorophyta	Chlorophyceae	Chlorocystidales	Chlorocystidaceae	Chlorocystis		cohnii	
Punctaria tenuissima	145348	exact	Punctaria tenuissima	(C.Agardh) Greville, 1830	accepted	145348	Punctaria tenuissima	(C.Agardh) Greville, 1830	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Punctaria		tenuissima	
Ectocarpus siliculosus	145410	exact	Ectocarpus siliculosus	(Dillwyn) Lyngbye, 1819	accepted	145410	Ectocarpus siliculosus	(Dillwyn) Lyngbye, 1819	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		siliculosus	
Chroomonas vectensis	106295	exact	Chroomonas vectensis	N.Carter, 1937	accepted	106295	Chroomonas vectensis	N.Carter, 1937	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Chroomonas		vectensis	
Rhodomonas marina	106314	exact	Rhodomonas marina	(P.A.Dangeard) Lemmermann, 1899	accepted	106314	Rhodomonas marina	(P.A.Dangeard) Lemmermann, 1899	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas		marina	
Brachiomonas submarina	345437	exact	Brachiomonas submarina	Bohlin, 1897	accepted	345437	Brachiomonas submarina	Bohlin, 1897	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Brachiomonas		submarina	
